number,title,issn,eissn,publisher
8435,JOURNAL OF SCHOOL VIOLENCE,15388220,15388239,
8436,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,14402440,18781861,ELSEVIER SCI LTD
8437,JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY,10590145,15731839,SPRINGER
8438,JOURNAL OF SCIENCE-ADVANCED MATERIALS AND DEVICES,24682284,24682179,VIETNAM NATL UNIV
8439,JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,00224456,09751084,
8440,JOURNAL OF SCIENTIFIC COMPUTING,08857474,15737691,SPRINGER/PLENUM PUBLISHERS
8441,JOURNAL OF SCREENWRITING,17597137,17597145,INTELLECT LTD
8442,JOURNAL OF SEA RESEARCH,13851101,18731414,ELSEVIER
8443,JOURNAL OF SECOND LANGUAGE WRITING,10603743,18731422,PERGAMON-ELSEVIER SCIENCE LTD
8444,JOURNAL OF SEDIMENTARY RESEARCH,15271404,19383681,SEPM-SOC SEDIMENTARY GEOLOGY
8445,JOURNAL OF SEED SCIENCE,23171537,23171545,
8446,JOURNAL OF SEISMIC EXPLORATION,09630651,,GEOPHYSICAL PRESS
8447,JOURNAL OF SEISMOLOGY,13834649,1573157X,SPRINGER
8448,JOURNAL OF SEMANTICS,01675133,14774593,OXFORD UNIV PRESS
8449,JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE,15981657,22334866,IEEK PUBLICATION CENTER
8450,JOURNAL OF SEMITIC STUDIES,00224480,14778556,OXFORD UNIV PRESS
8451,JOURNAL OF SENSORS,1687725X,16877268,WILEY
8452,JOURNAL OF SENSORY STUDIES,08878250,1745459X,WILEY
8453,JOURNAL OF SEPARATION SCIENCE,16159306,16159314,WILEY-V C H VERLAG GMBH
8454,JOURNAL OF SERVICE MANAGEMENT,17575818,17575826,EMERALD GROUP PUBLISHING LTD
8455,JOURNAL OF SERVICE RESEARCH,10946705,15527379,SAGE PUBLICATIONS INC
8456,JOURNAL OF SERVICE THEORY AND PRACTICE,20556225,20556225,EMERALD GROUP PUBLISHING LTD
8457,JOURNAL OF SERVICES MARKETING,08876045,08876045,EMERALD GROUP PUBLISHING LTD
8458,JOURNAL OF SEX & MARITAL THERAPY,0092623X,15210715,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8459,JOURNAL OF SEX RESEARCH,00224499,15598519,
8460,JOURNAL OF SEXUAL AGGRESSION,13552600,17426545,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8461,JOURNAL OF SEXUAL MEDICINE,17436095,17436109,OXFORD UNIV PRESS
8462,JOURNAL OF SHELLFISH RESEARCH,07308000,19436319,NATL SHELLFISHERIES ASSOC
8463,JOURNAL OF SHIA ISLAMIC STUDIES,17489423,2051557X,
8464,JOURNAL OF SHIP PRODUCTION AND DESIGN,21582866,21582874,SOC NAVAL ARCHITECTS & MARINE ENGINEERS
8465,JOURNAL OF SHIP RESEARCH,00224502,15420604,
8466,JOURNAL OF SHOULDER AND ELBOW SURGERY,10582746,15326500,MOSBY-ELSEVIER
8467,JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY,19398018,19398115,SPRINGER
8468,JOURNAL OF SIMULATION,17477778,17477786,TAYLOR & FRANCIS LTD
8469,JOURNAL OF SLEEP RESEARCH,09621105,13652869,WILEY
8470,JOURNAL OF SMALL ANIMAL PRACTICE,00224510,17485827,WILEY
8471,JOURNAL OF SMALL BUSINESS MANAGEMENT,00472778,1540627X,TAYLOR & FRANCIS INC
8472,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,07367236,19432771,GUILFORD PUBLICATIONS INC
8473,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,02654075,14603608,SAGE PUBLICATIONS LTD
8474,JOURNAL OF SOCIAL ARCHAEOLOGY,14696053,17412951,SAGE PUBLICATIONS LTD
8475,JOURNAL OF SOCIAL HISTORY,00224529,15271897,OXFORD UNIV PRESS INC
8476,JOURNAL OF SOCIAL ISSUES,00224537,15404560,WILEY
8477,JOURNAL OF SOCIAL MARKETING,20426763,20426771,EMERALD GROUP PUBLISHING LTD
8478,JOURNAL OF SOCIAL PHILOSOPHY,00472786,14679833,WILEY
8479,JOURNAL OF SOCIAL POLICY,00472794,14697823,CAMBRIDGE UNIV PRESS
8480,JOURNAL OF SOCIAL PSYCHOLOGY,00224545,19401183,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8481,JOURNAL OF SOCIAL SERVICE RESEARCH,01488376,15407314,
8482,JOURNAL OF SOCIAL WORK EDUCATION,10437797,21635811,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8483,JOURNAL OF SOCIAL WORK PRACTICE,02650533,14653885,
8484,JOURNAL OF SOCIAL WORK,14680173,1741296X,SAGE PUBLICATIONS INC
8485,JOURNAL OF SOCIOLINGUISTICS,13606441,14679841,WILEY
8486,JOURNAL OF SOCIOLOGY,14407833,17412978,SAGE PUBLICATIONS LTD
8487,JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS,20477473,20477481,WILEY
8488,JOURNAL OF SOIL AND WATER CONSERVATION,00224561,19413300,TAYLOR & FRANCIS LTD
8489,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,07189508,07189516,SPRINGER INT PUBL AG
8490,JOURNAL OF SOILS AND SEDIMENTS,14390108,16147480,SPRINGER HEIDELBERG
8491,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,01996231,15288986,ASME
8492,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,09280707,15734846,SPRINGER
8493,JOURNAL OF SOLID STATE CHEMISTRY,00224596,1095726X,
8494,JOURNAL OF SOLID STATE ELECTROCHEMISTRY,14328488,14330768,SPRINGER
8495,JOURNAL OF SOLUTION CHEMISTRY,00959782,15728927,SPRINGER/PLENUM PUBLISHERS
8496,JOURNAL OF SONG-YUAN STUDIES,10593152,21546665,JOHNS HOPKINS UNIV PRESS
8497,JOURNAL OF SOUND AND VIBRATION,0022460X,10958568,
8498,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,08959811,18730647,PERGAMON-ELSEVIER SCIENCE LTD
8499,JOURNAL OF SOUTH ASIAN DEVELOPMENT,09731741,09731733,SAGE PUBLICATIONS INDIA PVT LTD
8500,JOURNAL OF SOUTHEAST ASIAN STUDIES,00224634,14740680,CAMBRIDGE UNIV PRESS
8501,JOURNAL OF SOUTHERN AFRICAN STUDIES,03057070,14653893,
8502,JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEMS SCIENCE,,22065865,CSIRO PUBLISHING
8503,JOURNAL OF SOUTHERN HISTORY,00224642,23256893,SOUTHERN HISTORICAL ASSOC
8504,JOURNAL OF SPACE WEATHER AND SPACE CLIMATE,21157251,21157251,EDP SCIENCES S A
8505,JOURNAL OF SPACECRAFT AND ROCKETS,00224650,15336794,
8506,JOURNAL OF SPANISH CULTURAL STUDIES,14636204,14699818,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8507,JOURNAL OF SPATIAL SCIENCE,14498596,18365655,TAYLOR & FRANCIS LTD
8508,JOURNAL OF SPECIAL EDUCATION TECHNOLOGY,01626434,23813121,SAGE PUBLICATIONS INC
8509,JOURNAL OF SPECIAL EDUCATION,00224669,15384764,SAGE PUBLICATIONS INC
8510,JOURNAL OF SPECIALISED TRANSLATION,1740357X,1740357X,ROEHAMPTON UNIV SCH ARTS
8511,JOURNAL OF SPECTRAL THEORY,1664039X,16640403,
8512,JOURNAL OF SPECTROSCOPY,23144920,23144939,WILEY
8513,JOURNAL OF SPECULATIVE PHILOSOPHY,0891625X,15279383,PENN STATE UNIV PRESS
8514,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,10924388,15589102,AMER SPEECH-LANGUAGE-HEARING ASSOC
8515,JOURNAL OF SPINAL CORD MEDICINE,10790268,20457723,TAYLOR & FRANCIS LTD
8516,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,08952779,15432904,HUMAN KINETICS PUBL INC
8517,JOURNAL OF SPORT & SOCIAL ISSUES,01937235,15527638,SAGE PUBLICATIONS INC
8518,JOURNAL OF SPORT AND HEALTH SCIENCE,20952546,22132961,SHANGHAI UNIV SPORT
8519,JOURNAL OF SPORT MANAGEMENT,08884773,1543270X,HUMAN KINETICS PUBL INC
8520,JOURNAL OF SPORT REHABILITATION,10566716,15433072,HUMAN KINETICS PUBL INC
8521,JOURNAL OF SPORTS ECONOMICS,15270025,15527794,SAGE PUBLICATIONS INC
8522,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,00224707,18271928,EDIZIONI MINERVA MEDICA
8523,JOURNAL OF SPORTS SCIENCE AND MEDICINE,13032968,13032968,
8524,JOURNAL OF SPORTS SCIENCES,02640414,1466447X,TAYLOR & FRANCIS LTD
8525,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,00949655,15635163,TAYLOR & FRANCIS LTD
8526,JOURNAL OF STATISTICAL MECHANICS- THEORY AND EXPERIMENT,17425468,17425468,IOP PUBLISHING LTD
8527,JOURNAL OF STATISTICAL PHYSICS,00224715,15729613,SPRINGER
8528,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,03783758,18731171,ELSEVIER
8529,JOURNAL OF STATISTICAL SOFTWARE,15487660,15487660,JOURNAL STATISTICAL SOFTWARE
8530,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,09600760,18791220,PERGAMON-ELSEVIER SCIENCE LTD
8531,JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,24688509,24687855,ELSEVIER
8532,JOURNAL OF STORED PRODUCTS RESEARCH,0022474X,18791212,PERGAMON-ELSEVIER SCIENCE LTD
8533,JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,03093247,20413130,SAGE PUBLICATIONS LTD
8534,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,09638687,18731198,ELSEVIER
8535,JOURNAL OF STRATEGIC STUDIES,01402390,1743937X,
8536,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,10648011,15334287,LIPPINCOTT WILLIAMS & WILKINS
8537,JOURNAL OF STROKE & CEREBROVASCULAR DISEASES,10523057,15328511,ELSEVIER
8538,JOURNAL OF STROKE,22876391,22876405,KOREAN STROKE SOC
8539,JOURNAL OF STRUCTURAL BIOLOGY,10478477,10958657,
8540,JOURNAL OF STRUCTURAL CHEMISTRY,00224766,15738779,PLEIADES PUBLISHING INC
8541,JOURNAL OF STRUCTURAL ENGINEERING,07339445,1943541X,ASCE-AMER SOC CIVIL ENGINEERS
8542,JOURNAL OF STRUCTURAL GEOLOGY,01918141,18731201,PERGAMON-ELSEVIER SCIENCE LTD
8543,JOURNAL OF STUDIES IN INTERNATIONAL EDUCATION,10283153,15527808,SAGE PUBLICATIONS INC
8544,JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,19371888,19384114,ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV
8545,JOURNAL OF SUBSTANCE USE & ADDICTION TREATMENT,29498767,29498759,ELSEVIER SCIENCE INC
8546,JOURNAL OF SUBSTANCE USE,14659891,14759942,TAYLOR & FRANCIS INC
8547,JOURNAL OF SULFUR CHEMISTRY,17415993,17416000,TAYLOR & FRANCIS LTD
8548,JOURNAL OF SUPERCOMPUTING,09208542,15730484,SPRINGER
8549,JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM,15571939,15571947,SPRINGER
8550,JOURNAL OF SUPERCRITICAL FLUIDS,08968446,18728162,ELSEVIER
8551,JOURNAL OF SUPERHARD MATERIALS,10634576,19349408,PLEIADES PUBLISHING INC
8552,JOURNAL OF SUPPLY CHAIN MANAGEMENT,15232409,1745493X,WILEY
8553,JOURNAL OF SURFACTANTS AND DETERGENTS,10973958,15589293,WILEY
8554,JOURNAL OF SURGICAL EDUCATION,19317204,18787452,ELSEVIER SCIENCE INC
8555,JOURNAL OF SURGICAL ONCOLOGY,00224790,10969098,WILEY
8556,JOURNAL OF SURGICAL RESEARCH,00224804,10958673,ACADEMIC PRESS INC ELSEVIER SCIENCE
8557,JOURNAL OF SURVEY STATISTICS AND METHODOLOGY,23250984,23250992,OXFORD UNIV PRESS INC
8558,JOURNAL OF SURVEYING ENGINEERING,07339453,19435428,ASCE-AMER SOC CIVIL ENGINEERS
8559,JOURNAL OF SUSTAINABLE CEMENT- BASED MATERIALS,21650373,21650381,TAYLOR & FRANCIS LTD
8560,JOURNAL OF SUSTAINABLE FORESTRY,10549811,1540756X,TAYLOR & FRANCIS INC
8561,JOURNAL OF SUSTAINABLE METALLURGY,21993823,21993831,SPRINGER
8562,JOURNAL OF SUSTAINABLE TOURISM,09669582,17477646,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8563,JOURNAL OF SWINE HEALTH AND PRODUCTION,1537209X,,
8564,JOURNAL OF SYMBOLIC COMPUTATION,07477171,1095855X,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
8565,JOURNAL OF SYMBOLIC LOGIC,00224812,19435886,CAMBRIDGE UNIV PRESS
8566,JOURNAL OF SYMPLECTIC GEOMETRY,15275256,15402347,"INT PRESS BOSTON, INC"
8567,JOURNAL OF SYNCHROTRON RADIATION,09090495,16005775,INT UNION CRYSTALLOGRAPHY
8568,JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,00379980,18836526,SOC SYNTHETIC ORGANIC CHEM JPN
8569,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,14772019,14780941,TAYLOR & FRANCIS LTD
8570,JOURNAL OF SYSTEMATICS AND EVOLUTION,16744918,17596831,WILEY
8571,JOURNAL OF SYSTEMS AND SOFTWARE,01641212,18731228,ELSEVIER SCIENCE INC
8572,JOURNAL OF SYSTEMS ARCHITECTURE,13837621,18736165,ELSEVIER
8573,JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS,10044132,10044132,
8574,JOURNAL OF SYSTEMS SCIENCE & COMPLEXITY,10096124,15597067,SPRINGER HEIDELBERG
8575,JOURNAL OF SYSTEMS SCIENCE AND SYSTEMS ENGINEERING,10043756,18619576,SPRINGER HEIDELBERG
8576,JOURNAL OF TAIBAH UNIVERSITY FOR SCIENCE,16583655,16583655,TAYLOR & FRANCIS LTD
8577,JOURNAL OF TEACHER EDUCATION,00224871,15527816,SAGE PUBLICATIONS INC
8578,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,02735024,15432769,HUMAN KINETICS PUBL INC
8579,JOURNAL OF TECHNOLOGY TRANSFER,08929912,15737047,SPRINGER
8580,JOURNAL OF TELEMEDICINE AND TELECARE,1357633X,17581109,SAGE PUBLICATIONS LTD
8581,JOURNAL OF TERRAMECHANICS,00224898,18791204,PERGAMON-ELSEVIER SCIENCE LTD
8582,JOURNAL OF TESTING AND EVALUATION,00903973,19457553,AMER SOC TESTING MATERIALS
8583,JOURNAL OF TEXTURE STUDIES,00224901,17454603,WILEY
8584,JOURNAL OF THE ACADEMY OF CONSULTATION-LIAISON PSYCHIATRY,26672960,26672960,ELSEVIER SCIENCE INC
8585,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,00920703,15527824,SPRINGER
8586,JOURNAL OF THE ACADEMY OF NUTRITION AND DIETETICS,22122672,22122680,ELSEVIER SCIENCE INC
8587,JOURNAL OF THE ACM,00045411,1557735X,ASSOC COMPUTING MACHINERY
8588,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,00014966,15208524,ACOUSTICAL SOC AMER AMER INST PHYSICS
8589,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,10962247,21622906,TAYLOR & FRANCIS INC
8590,JOURNAL OF THE AMERICAN ACADEMY OF AUDIOLOGY,10500545,21573107,THIEME MEDICAL PUBL INC
8591,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,08908567,15275418,ELSEVIER SCIENCE INC
8592,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,01909622,10976787,MOSBY-ELSEVIER
8593,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,1067151X,19405480,LIPPINCOTT WILLIAMS & WILKINS
8594,JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,10936793,19433662,AMER ACAD PSYCHIATRY & LAW
8595,JOURNAL OF THE AMERICAN ACADEMY OF RELIGION,00027189,14774585,OXFORD UNIV PRESS INC
8596,JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION,05872871,15473317,AMER ANIMAL HOSPITAL ASSOC
8597,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,15596109,15596109,
8598,JOURNAL OF THE AMERICAN ASSOCIATION OF NURSE PRACTITIONERS,23276886,23276924,LIPPINCOTT WILLIAMS & WILKINS
8599,JOURNAL OF THE AMERICAN BOARD OF FAMILY MEDICINE,15572625,15587118,AMER BOARD FAMILY MEDICINE
8600,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,00027820,15512916,WILEY
8601,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,00027863,15205126,AMER CHEMICAL SOC
8602,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,07351097,15583597,ELSEVIER SCIENCE INC
8603,JOURNAL OF THE AMERICAN COLLEGE OF RADIOLOGY,15461440,1558349X,ELSEVIER SCIENCE INC
8604,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,10727515,18791190,LIPPINCOTT WILLIAMS & WILKINS
8605,JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,00028177,19434723,AMER DENTAL ASSOC
8606,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,00028614,15325415,WILEY
8607,JOURNAL OF THE AMERICAN HEART ASSOCIATION,,20479980,WILEY
8608,JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,00028711,21616027,AMER HELICOPTER SOC INC
8609,JOURNAL OF THE AMERICAN INSTITUTE FOR CONSERVATION,01971360,19452330,
8610,JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,00029726,,AMER LEATHER CHEMISTS ASSOC
8611,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,08940347,10886834,AMER MATHEMATICAL SOC
8612,JOURNAL OF THE AMERICAN MEDICAL DIRECTORS ASSOCIATION,15258610,15389375,ELSEVIER SCIENCE INC
8613,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,10675027,1527974X,OXFORD UNIV PRESS
8614,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756971X,19436270,AMER MOSQUITO CONTROL ASSOC
8615,JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY,00030139,15473848,UNIV CALIFORNIA PRESS
8616,JOURNAL OF THE AMERICAN NUTRITION ASSOCIATION,27697061,2769707X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8617,JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,0003021X,15589331,WILEY
8618,JOURNAL OF THE AMERICAN ORIENTAL SOCIETY,00030279,21692289,AMER ORIENTAL SOC
8619,JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,15443191,15443450,ELSEVIER
8620,JOURNAL OF THE AMERICAN PHILOSOPHICAL ASSOCIATION,20534477,20534485,CAMBRIDGE UNIV PRESS
8621,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,01944363,19390130,
8622,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,87507315,19308264,AMER PODIATRIC MED ASSOC
8623,JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,15273741,15273741,AMER POMOLOGICAL SOC
8624,JOURNAL OF THE AMERICAN PSYCHIATRIC NURSES ASSOCIATION,10783903,15325725,SAGE PUBLICATIONS INC
8625,JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,00030651,19412460,SAGE PUBLICATIONS INC
8626,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,00031062,23279788,AMER SOC HORTICULTURAL SCIENCE
8627,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,10440305,18791123,AMER CHEMICAL SOC
8628,JOURNAL OF THE AMERICAN SOCIETY OF BREWING CHEMISTS,03610470,19437854,TAYLOR & FRANCIS LTD
8629,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,08947317,10976795,MOSBY-ELSEVIER
8630,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,10466673,15333450,AMER SOC NEPHROLOGY
8631,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,01621459,1537274X,TAYLOR & FRANCIS INC
8632,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1093474X,17521688,WILEY
8633,JOURNAL OF THE ANATOMICAL SOCIETY OF INDIA,00032778,23523050,
8634,JOURNAL OF THE ASABE,27693295,27693287,AMER SOC AGRICULTURAL & BIOLOGICAL ENGINEERS
8635,JOURNAL OF THE ASIA PACIFIC ECONOMY,13547860,14699648,
8636,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,23301635,23301643,WILEY
8637,JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,15369323,15583457,ASSOC INFORMATION SYSTEMS
8638,JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,23335955,23335963,UNIV CHICAGO PRESS
8639,JOURNAL OF THE ASTRONAUTICAL SCIENCES,00219142,21950571,SPRINGER HEIDELBERG
8640,JOURNAL OF THE ATMOSPHERIC SCIENCES,00224928,15200469,AMER METEOROLOGICAL SOC
8641,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,15494950,15494950,AUDIO ENGINEERING SOC
8642,JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY,25101560,25101579,SPRINGER
8643,JOURNAL OF THE AUSTRALIAN LIBRARY AND INFORMATION ASSOCIATION,24750158,24750166,
8644,JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,14467887,14468107,CAMBRIDGE UNIV PRESS
8645,JOURNAL OF THE BELGIAN SOCIETY OF RADIOLOGY,25148281,25148281,UBIQUITY PRESS LTD
8646,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,01035053,16784790,SOC BRASILEIRA QUIMICA
8647,JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING,16785878,18063691,SPRINGER HEIDELBERG
8648,JOURNAL OF THE BRITISH ARCHAEOLOGICAL ASSOCIATION,00681288,17476704,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
8649,JOURNAL OF THE BRITISH SOCIETY FOR PHENOMENOLOGY,00071773,23320486,TAYLOR & FRANCIS LTD
8650,JOURNAL OF THE CANADIAN DENTAL ASSOCIATION,14882159,14882159,CANADIAN DENTAL ASSOC
8651,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,18820743,13486535,
8652,JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,02535106,02535106,CHEM SOC PAKISTAN
8653,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,07179707,07179707,SOC CHILENA QUIMICA
8654,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,00094536,21926549,WILEY-V C H VERLAG GMBH
8655,JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,02533839,21587299,TAYLOR & FRANCIS LTD
8656,JOURNAL OF THE CHINESE MEDICAL ASSOCIATION,17264901,17287731,LIPPINCOTT WILLIAMS & WILKINS
8657,JOURNAL OF THE CHINESE SOCIETY OF MECHANICAL ENGINEERS,02579731,,
8658,JOURNAL OF THE CIVIL WAR ERA,21544727,21599807,UNIV NORTH CAROLINA PRESS
8659,JOURNAL OF THE COPYRIGHT SOCIETY OF THE USA,08863520,08863520,COPYRIGHT SOC USA
8660,JOURNAL OF THE EARLY REPUBLIC,02751275,15530620,UNIV PENNSYLVANIA PRESS
8661,JOURNAL OF THE ECONOMIC AND SOCIAL HISTORY OF THE ORIENT,00224995,15685209,BRILL
8662,JOURNAL OF THE ECONOMICS OF AGEING,2212828X,22128298,ELSEVIER
8663,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,00134651,19457111,ELECTROCHEMICAL SOC INC
8664,JOURNAL OF THE ENERGY INSTITUTE,17439671,17460220,ELSEVIER SCI LTD
8665,JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY,,26513579,
8666,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,09269959,14683083,WILEY
8667,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,09552219,1873619X,ELSEVIER SCI LTD
8668,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,15424766,15424774,OXFORD UNIV PRESS
8669,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,14359855,14359863,
8670,JOURNAL OF THE EUROPEAN OPTICAL SOCIETY-RAPID PUBLICATIONS,19902573,19902573,EDP SCIENCES S A
8671,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,,19383711,WILEY
8672,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,00236152,,"KYUSHU UNIV, FACULTY AGRICULTURAL PUBLICATIONS"
8673,JOURNAL OF THE FACULTY OF ENGINEERING AND ARCHITECTURE OF GAZI UNIVERSITY,13001884,13044915,
8674,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,09296646,18760821,ELSEVIER TAIWAN
8675,JOURNAL OF THE FRANKLIN INSTITUTE,00160032,18792693,PERGAMON-ELSEVIER SCIENCE LTD
8676,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,00167622,09746889,GEOLOGICAL SOC INDIA
8677,JOURNAL OF THE GEOLOGICAL SOCIETY,00167649,2041479X,GEOLOGICAL SOC PUBL HOUSE
8678,JOURNAL OF THE GILDED AGE AND PROGRESSIVE ERA,15377814,19433557,CAMBRIDGE UNIV PRESS
8679,JOURNAL OF THE HELLENIC VETERINARY MEDICAL SOCIETY,17922720,17922720,
8680,JOURNAL OF THE HISTORY OF BIOLOGY,00225010,15730387,SPRINGER
8681,JOURNAL OF THE HISTORY OF COLLECTIONS,09546650,14778564,OXFORD UNIV PRESS
8682,JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,10538372,14699656,CAMBRIDGE UNIV PRESS
8683,JOURNAL OF THE HISTORY OF IDEAS,00225037,10863222,UNIV PENNSYLVANIA PRESS
8684,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,00225045,14684373,OXFORD UNIV PRESS INC
8685,JOURNAL OF THE HISTORY OF PHILOSOPHY,00225053,15384586,JOHNS HOPKINS UNIV PRESS
8686,JOURNAL OF THE HISTORY OF SEXUALITY,10434070,15353605,UNIV TEXAS PRESS
8687,JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,00225061,15206696,WILEY
8688,JOURNAL OF THE HISTORY OF THE NEUROSCIENCES,0964704X,17445213,TAYLOR & FRANCIS INC
8689,JOURNAL OF THE INDIAN CHEMICAL SOCIETY,00194522,,ELSEVIER
8690,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,09704140,00194964,SPRINGER
8691,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,0255660X,09743006,SPRINGER
8692,JOURNAL OF THE INSTITUTE OF BREWING,00469750,20500416,INST BREWING
